case_id,year,brand_or_org,industry,case_name,asset_type,controversy_summary,risk_categories,company_response,verification_level,source_url,source_status
KR-MR-2014-002,2014,IKEA Korea,가구/리테일,세계지도 Sea of Japan 표기,판매 상품/지도 비주얼,판매용 세계지도에서 동해를 Sea of Japan으로 표기해 역사·지명 논란,역사감수성;지명표기,사과·판매 중단/조정,L3,https://www.nytimes.com/2014/11/20/business/international/ikea-apologizes-for-map-with-sea-of-japan-label.html,direct
KR-MR-2015-001,2015,알바몬,구인구직,최저임금·야간수당·인격존중 광고,TV/온라인 광고,노동권 메시지에 일부 자영업자 단체가 사업주 악역화라며 반발,이해관계자반발;노동권메시지,문구/영상 조정 보도,L3,http://www.koreaherald.com/view.php?ud=20150206000863,direct
KR-MR-2015-002,2015,SKT/KT/LGU+,통신,LTE 무제한,요금제 광고문구,무제한 광고가 속도제한·조건을 충분히 알리지 않아 오인 논란,허위과장;조건누락,공정위 과징금·시정명령,L4,https://search.naver.com/search.naver?where=news&query=2015%20%EA%B3%B5%EC%A0%95%EC%9C%84%20LTE%20%EB%AC%B4%EC%A0%9C%ED%95%9C%20%EA%B4%91%EA%B3%A0%20%EA%B3%BC%EC%A7%95%EA%B8%88,needs-official-url
KR-MR-2015-003,2015,MAXIM Korea,잡지/미디어,트렁크 속 여성 연상 표지,표지 비주얼,여성 납치·살해·성폭력 연상 논란,성폭력연상;여성혐오;폭력미화,공식 사과·회수/폐기,L3,https://www.theguardian.com/world/2015/sep/04/maxim-korea-apologises-cover-image-violence-against-women,direct
KR-MR-2015-004,2015,숙박앱 야놀자/여기어때 등,숙박앱,중의적 숙박 광고,TV/옥외/온라인 광고,모텔·숙박앱 광고의 선정성·청소년 유해성 논란,선정성;청소년보호,광고 수정·심의 대응,L2,https://search.naver.com/search.naver?where=news&query=%EC%95%BC%EB%86%80%EC%9E%90%20%EC%97%AC%EA%B8%B0%EC%96%B4%EB%95%8C%20%EA%B4%91%EA%B3%A0%20%EC%84%A0%EC%A0%95%EC%84%B1%20%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2016-001,2016,보건복지부/정부,공공정책,가임기 여성 수 출산지도,정책 캠페인/지도 비주얼,지역별 가임기 여성 수 공개가 여성 대상화 비판을 받음,성차별;공공커뮤니케이션,서비스 중단·사과/해명,L3,https://www.theguardian.com/world/2016/dec/30/south-korea-fertility-map-childbearing-age-women-backlash,direct
KR-MR-2016-002,2016,넥슨 서든어택2,게임,여성 캐릭터 홍보 이미지,캐릭터 비주얼/홍보 이미지,여성 캐릭터 과도한 노출·사망 연출이 성상품화 논란,성상품화;선정성,캐릭터 삭제/수정,L3,https://search.naver.com/search.naver?where=news&query=%EC%84%9C%EB%93%A0%EC%96%B4%ED%83%9D2%20%EC%97%AC%EC%84%B1%20%EC%BA%90%EB%A6%AD%ED%84%B0%20%EC%84%A0%EC%A0%95%EC%84%B1%20%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2016-003,2016,아우디폭스바겐코리아,자동차,친환경 디젤 광고,친환경/배출가스 광고문구,디젤차를 친환경처럼 광고했으나 배출가스 조작 사태로 허위·과장 제재,그린워싱;소비자기만,공정위 과징금·시정조치,L4,https://www.reuters.com/article/us-volkswagen-southkorea-idUSKBN1470S5,direct
KR-MR-2016-004,2016,한국닛산 캐시카이,자동차,친환경성/배출가스 표현,배출가스/친환경성 광고,배출가스 저감성능·친환경성 오인 논란,그린워싱;허위과장,환경부·공정위 조사/제재 보도,L3,https://www.reuters.com/article/us-nissan-southkorea-emissions-idUSKCN0YB0H3,direct
KR-MR-2018-001,2018,왕이되는자,모바일게임,미녀/후궁/아내 수집 표현,온라인 광고문구/비주얼,여성을 보상·수집 대상으로 표현해 성상품화 논란,성상품화;여성혐오,광고 수정·삭제 보도,L2,https://search.naver.com/search.naver?where=news&query=%EC%99%95%EC%9D%B4%EB%90%98%EB%8A%94%EC%9E%90%20%EA%B4%91%EA%B3%A0%20%EC%97%AC%EC%84%B1%20%EC%83%81%ED%92%88%ED%99%94%20%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2019-001,2019,유니클로 Korea,패션,80년도 더 된 일 자막,영상광고 자막/카피,식민지배·위안부 문제를 연상시킨다는 비판,역사감수성;카피리스크,광고 중단/철회,L3,https://www.reuters.com/article/world/uniqlo-pulls-ad-in-south-korea-after-colonial-past-row-idUSKBN1X00AE/,direct
KR-MR-2019-002,2019,배스킨라빈스 Korea,식음료,핑크스타 아동 모델 광고,영상광고/비주얼,아동 모델 연출이 성적 대상화로 보인다는 비판,아동보호;성적대상화,광고 삭제·사과,L3,https://www.koreaherald.com/view.php?ud=20190630000153,direct
KR-MR-2020-001,2020,화장품/생활용품 인플루언서 광고,화장품/생활용품,뒷광고/협찬 미표시,SNS/인플루언서 마케팅,협찬·광고 표시 불충분으로 공정위 제재,표시광고법;스텔스마케팅,시정명령/과징금,L4,https://www.ftc.go.kr/www/selectReportUserList.do?key=10&searchCnd=all&searchKrwd=%EB%92%B7%EA%B4%91%EA%B3%A0,official-search
KR-MR-2021-001,2021,이니스프리,화장품,"Hello, I’m Paper Bottle",패키지 문구/친환경 마케팅,종이병처럼 보였으나 내부 플라스틱 용기로 그린워싱 비판,그린워싱;오인표시,사과·표기 개선,L3,https://search.naver.com/search.naver?where=news&query=%EC%9D%B4%EB%8B%88%EC%8A%A4%ED%94%84%EB%A6%AC%20%ED%8E%98%EC%9D%B4%ED%8D%BC%20%EB%B3%B4%ED%8B%80%20%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2021-002,2021,남양유업 불가리스,식품/유제품,코로나19 억제 효과 발표,발표자료/홍보성 메시지,불가리스가 코로나19 억제 효과가 있는 것처럼 홍보해 과학적 근거 부족 논란,건강효능오인;허위과장,식약처 고발/행정처분·사과,L4,https://www.reuters.com/world/asia-pacific/south-korea-dairy-company-apologizes-after-claim-yogurt-drink-cuts-covid-19-2021-04-16/,direct
KR-MR-2021-003,2021,GS25,편의점,캠핑 이벤트 포스터 손모양,이벤트 포스터/비주얼,손모양·문구 배열이 남성혐오 코드라는 온라인 비판,젠더갈등;비주얼상징,포스터 삭제·사과·수정,L3,https://www.bbc.com/korean/news-57017090,direct
KR-MR-2021-004,2021,서울우유,식음료,여성/젖소 광고,영상광고,여성을 젖소에 비유하고 몰래 촬영하는 듯한 연출 논란,성차별;성적대상화;불법촬영연상,광고 삭제·사과,L3,https://www.bbc.com/korean/news-59625448,direct
KR-MR-2021-005,2021,서울시,공공기관,임신부에게 남편 식사/옷 챙기라는 안내,공공 정보 콘텐츠 문구,임신부에게 가사·돌봄 책임을 전가하는 성역할 고정관념 비판,성역할고정관념;공공커뮤니케이션,콘텐츠 삭제/수정,L3,https://www.bbc.com/news/world-asia-55657061,direct
KR-MR-2021-006,2021,스타벅스코리아,카페/리테일,리유저블컵 증정 이벤트,프로모션/굿즈 캠페인,친환경 명분과 달리 일회성 소비·혼잡 유발 비판,그린워싱;운영리스크,운영 개선 언급,L2,https://search.naver.com/search.naver?where=news&query=%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%20%EB%A6%AC%EC%9C%A0%EC%A0%80%EB%B8%94%EC%BB%B5%20%EA%B7%B8%EB%A6%B0%EC%9B%8C%EC%8B%B1%20%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2021-007,2021,CJ제일제당 비비고,식품,김치 파오차이 표기,해외/온라인 표기,김치를 파오차이로 표기해 문화 정체성 훼손 논란,문화민감성;번역리스크,표기 수정/해명,L2,https://search.naver.com/search.naver?where=news&query=CJ%20%EB%B9%84%EB%B9%84%EA%B3%A0%20%ED%8C%8C%EC%98%A4%EC%B0%A8%EC%9D%B4%20%EA%B9%80%EC%B9%98%20%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2022-001,2022,무신사,패션 플랫폼,100% 정품 신뢰 마케팅,상품 소개/보증 표현,에센셜 제품 가품 논란으로 정품 보증 신뢰 마케팅 타격,진품보증;소비자신뢰,환불·보상·검수 강화,L2,https://search.naver.com/search.naver?where=news&query=%EB%AC%B4%EC%8B%A0%EC%82%AC%20%EC%97%90%EC%84%BC%EC%85%9C%20%EA%B0%80%ED%92%88%20%EC%A0%95%ED%92%88%20%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2022-002,2022,스타벅스코리아,카페/리테일,서머 캐리백 굿즈,사은품 프로모션,증정 굿즈에서 폼알데하이드 검출 논란,제품안전;프로모션리스크,사과·회수·보상,L3,https://search.naver.com/search.naver?where=news&query=%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%20%EC%84%9C%EB%A8%B8%20%EC%BA%90%EB%A6%AC%EB%B0%B1%20%ED%8F%BC%EC%95%8C%EB%8D%B0%ED%95%98%EC%9D%B4%EB%93%9C,needs-direct-source
KR-MR-2022-003,2022,명품 플랫폼 발란/트렌비/머스트잇,명품 플랫폼,최저가 표현,가격광고/최저가 문구,최저가 광고 표현이 실제 조건과 달라 오인 논란 및 공정위 제재,가격표시;허위과장,공정위 시정명령/과징금,L4,https://www.ftc.go.kr/www/selectReportUserList.do?key=10&searchCnd=all&searchKrwd=%EB%B0%9C%EB%9E%80%20%EC%B5%9C%EC%A0%80%EA%B0%80,official-search
KR-MR-2023-001,2023,롯데칠성음료 등,주류,제로슈거 소주,제품명/패키지/광고문구,제로슈거가 저열량·건강한 술로 오인될 수 있다는 논란,건강오인;표시광고,표기 개선 논의/당국 조사,L2,https://search.naver.com/search.naver?where=news&query=%EC%A0%9C%EB%A1%9C%EC%8A%88%EA%B1%B0%20%EC%86%8C%EC%A3%BC%20%EC%83%88%EB%A1%9C%20%ED%91%9C%EC%8B%9C%EA%B4%91%EA%B3%A0%20%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2023-002,2023,넥슨/스튜디오 뿌리,게임,홍보영상 손동작,홍보영상/애니메이션 비주얼,홍보 애니메이션 손동작이 남성혐오 상징이라는 주장으로 영상 비공개·수정,젠더갈등;비주얼상징;외주관리,영상 삭제/수정·조사,L3,https://koreajoongangdaily.joins.com/news/2023-11-28/business/industry/Korean-game-companies-remove-promotional-videos-after-fingerpinching-controversy/1923721,direct
KR-MR-2023-003,2023,SK E&S,에너지,CO2 Free LNG,기업광고/친환경 문구,탄소배출을 모두 제거한 것처럼 오인될 수 있다는 그린워싱 논란,그린워싱;환경표시,환경부 행정지도/표현 수정 논의,L4,https://search.naver.com/search.naver?where=news&query=SK%20E%26S%20CO2%20Free%20LNG%20%EA%B7%B8%EB%A6%B0%EC%9B%8C%EC%8B%B1,needs-official-url
KR-MR-2024-001,2024,르노코리아,자동차,그랑 콜레오스 홍보영상 손동작,신차 홍보영상/숏폼 비주얼,홍보영상 손동작이 남성혐오 상징이라는 논란,젠더갈등;비주얼상징;임직원출연,영상 삭제·사과·내부조사,L3,https://koreajoongangdaily.joins.com/news/2024-07-02/business/industry/Renault-Korea-apologizes-for-fingerpinching-controversy-in-YouTube-promo/2081522,direct
KR-MR-2024-002,2024,쿠팡,이커머스,PB 검색노출/임직원 리뷰,검색노출/리뷰/플랫폼 마케팅,PB상품 검색순위·임직원 리뷰 활용이 소비자 선택 왜곡이라는 공정위 판단,기만마케팅;리뷰조작;플랫폼공정성,공정위 제재·회사 불복/입장 발표,L4,https://www.ftc.go.kr/www/selectReportUserList.do?key=10&searchCnd=all&searchKrwd=%EC%BF%A0%ED%8C%A1%20PB%20%EC%9E%84%EC%A7%81%EC%9B%90%20%EB%A6%AC%EB%B7%B0,official-search
KR-MR-2025-001,2025,W코리아 / Love Your W,미디어/공익캠페인,유방암 인식 캠페인 셀럽 행사,캠페인/행사/SNS 콘텐츠,유방암 인식 향상 캠페인이 음주·셀럽 파티처럼 노출돼 환우·가족 배려 부족 및 기부 투명성 논란으로 확산,공익캠페인;질병감수성;목적-실행불일치;기부투명성,게시물 삭제·공식 사과·기획/실행 과정 재점검 및 기부금 해명,L3,https://www.kmib.co.kr/article/view.asp?arcid=0028846614,direct
KR-MR-2025-002,2025,이니스프리,화장품,밀크 에센스 인플루언서 영상,인플루언서 협업 영상/SNS,제품 제형 홍보 영상에서 여성 인플루언서 얼굴에 흰 액체를 붓는 장면이 성적 뉘앙스와 여성 희롱으로 비판,선정성;젠더감수성;인플루언서;제품제형연출,문제 장면 삭제·SNS 사과·콘텐츠 검토 강화 약속,L3,https://view.asiae.co.kr/article/2025092415452553626,direct
KR-MR-2025-003,2025,카카오,플랫폼/메시징광고,브랜드 메시지 광고 발송 서비스,카카오톡 광고 메시지/타깃광고,광고주 전화번호와 카카오톡 계정 전화번호 매칭 기반 광고 발송이 개인정보·수신동의 논란으로 확산,개인정보;타깃광고;수신동의;플랫폼광고,관련 협회 신고 보도·카카오는 광고성 정보 수신동의 이용자 발송 구조 설명,L3,https://www.yna.co.kr/view/AKR20250819110900017,direct
KR-MR-2025-004,2025,소노시즌,침구/리테일,APEC 공식 매트리스 표현,홈페이지/인스타그램 이벤트/홍보물,APEC 2025 공식 매트리스 등 문구와 로고를 활용해 공식 협찬·공식 제품처럼 오인 가능하다는 허위·과장 논란,공식후원사칭;행사명로고사용;허위과장;SNS광고,"정부 공식 협찬·지정 사실 없음 확인 보도, 회사 후속조치 확인 필요",L3,https://www.kgnews.co.kr/news/article.html?no=871598,direct
KR-MR-2025-005,2025,포스코,철강/B2B,친환경 철강 브랜드 광고,브랜드/보도자료/홈페이지 친환경 홍보,이노빌트·e Autopos·Greenable 등 철강 브랜드를 객관적 실증 없이 친환경으로 광고했다는 그린워싱 판단,그린워싱;친환경실증;B2B브랜드광고;표시광고법,공정위 시정명령·문제 표현 미사용 및 내부 검토 강화 설명,L4,https://www.hani.co.kr/arti/economy/economy_general/1192876.html,direct
KR-MR-2025-006,2025,머스트잇/트렌비/발란,명품 플랫폼/이커머스,기간 한정 할인·상품정보 표시,온라인몰 할인 문구/상품정보,장기간 계속된 할인에 단 며칠만·곧 종료 등 기간 한정 문구를 사용하거나 필수 상품정보를 누락해 소비자 오인 유발,허위과장;기간한정할인;다크패턴유사;전자상거래,공정위 시정명령·과태료/과징금·공표명령,L4,https://www.joongang.co.kr/article/25329826,direct
KR-MR-2025-007,2025,더본코리아,식품/외식,빽햄 등 제품 설명·원산지/함량 커뮤니케이션,제품 설명/패키지/가격 커뮤니케이션,빽햄 돼지고기 함량·가격 및 일부 제품 설명 문구의 원산지 오인 논란이 브랜드 신뢰 이슈로 확산,원산지;함량가격;제품표시;식품신뢰,대표 사과·빽햄 생산 중단·제품 설명 문구 전수 점검·외부 전문가 감시 시스템 계획,L3,https://biz.chosun.com/distribution/food/2025/03/19/UKNA3FEU6NACJJTIYKKTB5BMPE/,direct
KR-MR-2025-008,2025,호주 주름크림 광고주/뷰티 콘텐츠 채널,화장품/인플루언서,호주 유명 제품처럼 보인 주름크림 광고,유튜브/인플루언서 광고,호주에서 처음 봤다·호주에서 유명 등 멘트가 실제 원산지/인지도와 다르다는 의혹으로 허위 광고 논란,인플루언서광고;허위광고;국가이미지;대본검수,출연자 사과·협업 종료 통보·콘텐츠 노출 중단/삭제 요청 보도,L3,https://www.newsis.com/view/NISX20250805_0003278724,direct
KR-MR-2026-001,2026,페리카나,식품/프랜차이즈,AI 제작 SNS 광고 영상,AI 제작 SNS 광고 영상,프라이드치킨 부부와 양념치킨 아기 설정이 불륜·가족관계 희화화로 비판,AI광고;성가족윤리;희화화;검수부족,공식 인스타그램 사과·문제 게시물 삭제·콘텐츠 기획/검수 강화 약속,L3,https://www.yna.co.kr/view/AKR20260510023700030,direct
